Band	Timecode	Sprecher	Transkript	Übersetzung	Hauptüberschrift	Zwischenüberschrift	Hauptüberschrift (Übersetzung)	Zwischenüberschrift (Übersetzung)	Registerverknüpfungen	Anmerkungen	Anmerkungen (Übersetzung)
1	00:00:08.00	IP_JA	Johanna Alexander 								
1	00:00:13.04	IP_JA	Ähm, also ich, äh, erblickte das sogenannte Licht der Welt am 22.12.1918.								
1	00:00:18.08	IP_JA	Meine Eltern, [kurze Pause] [Klirren] davon war der Vater Weichensteller zu dem Zeitpunkt, meine Mutter war ungelernt.								
1	00:00:28.20	IP_JA	ja								
1	00:00:29.03	INT_AKE	Hm								
1	00:00:29.11	IP_JA	Der Altersunterschied zwischen beiden betrug sieben Jahre.								
1	00:00:35.04	IP_JA	Meine Mutter heiratete mit 19 und bekam kurz hintereinander zwei Kinder.								
1	00:00:42.15	IP_JA	Der Grund war übrigens auch bereits 'ne Schwangerschaft zur Heirat, und diese beiden Kinder verstarben aber auch, bevor sie ein Jahr alt wurden.								
1	00:00:42.20	INT_AKE	Hm.								
1	00:00:52.00	INT_AKE	Hm								
1	00:00:52.04	IP_JA	So wurde ich das dritte Kind dieser Eheleute von noch drei nachfolgenden Kindern.								
1	00:00:54.10	INT_AKE	Und ...								
1	00:00:58.22	IP_JA	Wir waren dann insgesamt vier, die am Leben blieben.								
1	00:01:02.23	INT_AKE	Hm.								
1	00:01:03.07	INT_AKE	Und Sie waren dann praktisch von denen nun, die am Leben blieben, die Älteste?								
1	00:01:04.15	IP_JA	Ich war von denen nun die Älteste.								
1	00:01:07.18	IP_JA	Im Abstand von eineinhalb Jahren, zwei Jahren und noch 'mal eineinhalb Jahren wurden dann die Kinder geboren.								
1	00:01:15.00	IP_JA	Und wie ich schon sagte, mein Vater übte den Beruf eines Weichenstellers auf, auf – aus hier bei den Deutschen Eisenwerken damals – wir sagten immer Hochofen, weil ja eben die Hochöfen da standen.								
1	00:01:24.02	INT_AKE	Hm								
1	00:01:29.07	IP_JA	Mit 19 Jahren hatte mein Vater bereits einen Betriebsunfall, was ihn den Unterschenkel kostete, sodass er mit 19 Jahren bereits als Schwerbeschädigter galt und demzufolge auch nicht jede Arbeit ausüben konnte, die er wohl gemocht hätte.								
1	00:01:34.11	INT_AKE	Hm.								
1	00:01:38.11	INT_AKE	Hm.								
1	00:01:48.20	INT_AKE	Hm								
